जनवादी	NOUN	COMPOUND
कल्पर	VERB	TE
कंट	VERB	TE
छक	VERB	POS
फटना	VERB	-
मरोगी	VERB	Inflection
फ़ेंक	VERB	POS
भूतकाल	VERB	POS
चाहियं	VERB	Inflection
चिपका	VERB	Inflection
फुदक	VERB	-
हंसा	VERB	Inflection
सुलटा	VERB	Inflection
सिराह	VERB	TE
गांग	VERB	TE
टाइलेन्चाइड	NOUN	FOREIGN
करेगीद	VERB	TE
शीतकालीन	NOUN	POS
बुझाऊँ	VERB	Inflection
सॅजो	VERB	TE
केदो	NOUN	TE
उगाह	VERB	POS
हितकारी	NOUN	POS
उदासी	NOUN	-
जोडे़	VERB	Inflection
पिउग्लोबल	NOUN	FOREIGN
मूल्या	VERB	TE
बहनेवाला	VERB	COMPOUND
लोंगए	VERB	TE
मिसेलनी	VERB	FOREIGN
बिन्	VERB	TE
बाध्यकर	VERB	COMPOUND
जोङा	VERB	TE
ट्रीय	NOUN	FOREIGN
निवारणकर	VERB	COMPOUND
परः	VERB	TE
हिल्	VERB	TE
चेताओगे	VERB	Inflection
दृष्टव्य	NOUN	-
चहरा	VERB	POS
स्वामीभक्त	NOUN	COMPOUND
भाला	VERB	POS
एड्वांस्ड	NOUN	FOREIGN
फूंकने	VERB	Inflection
डाइजनोन	NOUN	FOREIGN
वाक्य	NOUN	-
लर्न	NOUN	POS
चहचहाहट	VERB	POS
होंा	VERB	TE
सधा	VERB	-
खुलागृह	VERB	POS
कूद	VERB	-
छेड	NOUN	TE
छेक	VERB	TE
अवसंरच	VERB	TE
बुलाएँग	VERB	TE
डालिए	VERB	Inflection
कोल्हट	VERB	POS
गैर	NOUN	POS
समतुल्य	NOUN	POS
हॆः	VERB	TE
संख्या	VERB	POS
सुखं	VERB	TE
अंतरराष्ट्रीहय	NOUN	TE
निकालो	VERB	Inflection
यने	VERB	TE
तवाफ	NOUN	TE
ध	VERB	TE
करनेवाली	VERB	POS
जेनरेटिंग	NOUN	FOREIGN
मिनरल	NOUN	FOREIGN
दुर्घट	VERB	TE
लोह	VERB	POS
उड़ाय	VERB	TE
ऋमांक	VERB	TE
मार्कोनी	VERB	POS
पहुचंने	VERB	TE
सजाना	VERB	-
ऑफ	NOUN	FOREIGN
डॉँक्टर	NOUN	TE
ईस्वी	NOUN	POS
बनाँ	VERB	TE
बालगंगाधर	VERB	POS
चुभोना	VERB	Inflection
प्रवाही	NOUN	-
तदर्थक	VERB	POS
चलाऐं	VERB	Inflection
प्रतिहो	VERB	TE
चाइ	VERB	TE
पाहुना	VERB	POS
टेरिटोरियल	NOUN	FOREIGN
पहजान	VERB	TE
मालिकाना	VERB	POS
भिनभिना	VERB	Inflection
आगवाला	VERB	POS
सिद्धांतवादी	NOUN	COMPOUND
न्योत	VERB	TE
देशवासी	NOUN	COMPOUND
इंसुलिन	NOUN	FOREIGN
जुआ	VERB	POS
